frente_m,log_area,area_const_m2,pendiente_grados,predio_join
False,False,False,False,102508
False,False,False,False,102615
False,False,False,False,102637
False,False,False,False,102819
False,False,False,False,102894
False,False,False,False,103079
False,False,False,False,103389
False,False,False,False,103449
False,False,False,False,103569
False,False,False,False,103591
False,False,False,False,103873
False,False,False,False,103922
False,False,False,False,103936
False,False,False,False,104100
False,False,False,False,104154
False,False,False,False,104229
False,False,False,False,104253
False,False,False,False,104346
False,False,False,False,104420
False,False,False,False,104484
False,False,False,False,104873
False,False,False,False,104919
False,False,False,False,104941
True,True,True,False,104943
False,False,False,False,105001
False,False,False,False,105765
False,False,False,False,106032
False,False,False,False,106056
False,False,False,False,106134
True,True,True,False,106335
False,False,False,False,107164
False,False,False,False,107197
False,False,False,False,107240
False,False,False,False,107355
True,True,True,True,107360
False,False,False,False,107361
False,False,False,False,107363
False,False,False,False,107435
False,False,False,False,107547
False,False,False,False,107564
False,False,False,False,107638
False,False,False,False,107695
False,False,False,False,107718
False,False,False,False,108170
False,False,False,False,108190
False,False,False,False,108200
False,False,False,False,108713
False,False,False,False,108820
False,False,False,False,108865
False,False,False,False,108899
False,False,False,False,108929
False,False,False,False,109086
False,False,False,False,109217
False,False,False,False,109287
False,False,False,False,109299
False,False,False,False,109373
False,False,False,False,109374
False,False,False,False,109564
False,False,False,False,109743
False,False,False,False,109809
False,False,False,False,109879
True,False,False,False,109952
False,False,False,False,110071
False,False,False,False,110173
False,False,False,False,110198
False,False,False,False,110237
False,False,False,False,110405
False,False,False,False,110424
False,False,False,False,110530
False,False,False,False,110556
False,False,False,False,110638
False,False,False,False,110714
False,False,False,False,110716
False,False,False,False,110768
False,False,False,False,110848
False,False,False,False,110966
False,False,False,False,111045
False,False,False,False,111114
False,False,False,False,111146
False,False,False,False,111438
False,False,False,False,111439
False,False,False,False,111681
False,False,False,False,111838
False,False,False,False,111884
False,False,False,False,111887
False,False,False,False,111977
False,False,False,False,112328
False,False,False,False,112672
False,False,False,False,112980
False,False,False,False,112991
False,False,False,False,113208
False,False,False,False,113325
False,False,False,False,113345
False,False,False,False,113466
False,False,False,True,113562
False,False,False,False,113590
False,False,False,False,113828
False,False,False,False,113840
False,False,False,False,113856
False,False,False,False,113925
False,False,False,False,114080
False,False,False,False,114093
False,False,False,False,114437
False,False,False,True,114448
False,False,False,False,114480
False,False,False,False,114533
