modelo,estrategia,seed,fold,MAE,RMSE,MAPE,R2,R2_log,smearing_factor
RF,SpatialBlock_buf,314,1,155.5321,286.0265,41.3755,0.0812,0.4229,1.005821
RF,SpatialBlock_buf,314,2,153.2249,290.0556,48.479,-0.0225,0.2908,1.003284
RF,SpatialBlock_buf,314,3,102.2978,199.2571,40.7201,0.0598,0.1605,1.003191
RF,SpatialBlock_buf,314,4,37.2971,55.4602,27.0117,0.1253,0.1145,1.003512
RF,RandomKFold,7,0,39.9113,75.3557,20.687,0.8782,0.8623,1.004059
RF,RandomKFold,7,1,39.2083,79.1178,21.777,0.8718,0.8531,1.0039
RF,RandomKFold,7,2,37.3231,85.1048,18.7968,0.8488,0.8634,1.005042
RF,RandomKFold,7,3,38.456,82.3474,19.6948,0.8697,0.8644,1.003854
RF,RandomKFold,7,4,39.5076,80.9924,18.0283,0.8829,0.8891,1.004852
RF,SpatialBlock,7,0,33.3033,47.0034,29.3669,0.3538,0.3871,1.003679
RF,SpatialBlock,7,1,95.8722,172.0075,32.8187,0.6677,0.7862,1.003592
RF,SpatialBlock,7,2,103.8903,155.7194,51.0062,0.7053,0.6335,1.003119
RF,SpatialBlock,7,3,67.1821,122.3772,29.4659,0.6453,0.5527,1.004168
RF,SpatialBlock,7,4,30.7361,43.6749,24.9285,0.4575,0.4865,1.003643
RF,SpatialBlock_buf,7,0,43.2448,59.3417,40.5306,-0.0299,0.0964,1.003981
RF,SpatialBlock_buf,7,1,153.3155,284.5945,40.2467,0.0903,0.4472,1.004432
RF,SpatialBlock_buf,7,2,155.4941,291.185,48.4702,-0.0305,0.2731,1.003984
RF,SpatialBlock_buf,7,3,101.5678,199.1022,40.3933,0.0612,0.1699,1.002597
RF,SpatialBlock_buf,7,4,37.57,55.6752,27.1582,0.1185,0.1063,1.003977
HGB,RandomKFold,42,0,41.719,76.1893,21.9577,0.8755,0.8493,1.004708
HGB,RandomKFold,42,1,40.3333,77.1301,20.1611,0.8782,0.8675,1.004964
HGB,RandomKFold,42,2,39.1827,84.5273,20.0721,0.8508,0.865,1.00512
HGB,RandomKFold,42,3,40.8454,85.3858,20.3704,0.8599,0.8633,1.00504
HGB,RandomKFold,42,4,40.1576,81.7096,18.2848,0.8808,0.888,1.005232
HGB,SpatialBlock,42,0,31.117,43.7458,26.871,0.4403,0.4498,1.005069
HGB,SpatialBlock,42,1,90.2569,166.649,29.3512,0.6881,0.8153,1.004844
HGB,SpatialBlock,42,2,98.4956,147.8794,46.8686,0.7342,0.6667,1.004734
HGB,SpatialBlock,42,3,68.5224,122.8541,30.6115,0.6426,0.5484,1.003438
HGB,SpatialBlock,42,4,33.3972,47.8734,26.9262,0.3482,0.4627,1.005136
HGB,SpatialBlock_buf,42,0,40.5055,53.1529,37.7423,0.1737,0.1331,1.003474
HGB,SpatialBlock_buf,42,1,134.2946,252.985,39.8147,0.2812,0.6385,1.003397
HGB,SpatialBlock_buf,42,2,147.8847,290.6792,50.364,-0.0269,0.3212,1.002322
HGB,SpatialBlock_buf,42,3,90.9407,182.6842,36.9946,0.2097,0.3765,1.000966
HGB,SpatialBlock_buf,42,4,37.359,54.5947,27.0287,0.1524,0.1507,1.002048
HGB,RandomKFold,2011,0,41.719,76.1893,21.9577,0.8755,0.8493,1.004708
HGB,RandomKFold,2011,1,40.3333,77.1301,20.1611,0.8782,0.8675,1.004964
HGB,RandomKFold,2011,2,39.1827,84.5273,20.0721,0.8508,0.865,1.00512
HGB,RandomKFold,2011,3,40.8454,85.3858,20.3704,0.8599,0.8633,1.00504
HGB,RandomKFold,2011,4,40.1576,81.7096,18.2848,0.8808,0.888,1.005232
HGB,SpatialBlock,2011,0,31.117,43.7458,26.871,0.4403,0.4498,1.005069
HGB,SpatialBlock,2011,1,90.2569,166.649,29.3512,0.6881,0.8153,1.004844
HGB,SpatialBlock,2011,2,98.4956,147.8794,46.8686,0.7342,0.6667,1.004734
HGB,SpatialBlock,2011,3,68.5224,122.8541,30.6115,0.6426,0.5484,1.003438
HGB,SpatialBlock,2011,4,33.3972,47.8734,26.9262,0.3482,0.4627,1.005136
HGB,SpatialBlock_buf,2011,0,40.5055,53.1529,37.7423,0.1737,0.1331,1.003474
HGB,SpatialBlock_buf,2011,1,134.2946,252.985,39.8147,0.2812,0.6385,1.003397
HGB,SpatialBlock_buf,2011,2,147.8847,290.6792,50.364,-0.0269,0.3212,1.002322
HGB,SpatialBlock_buf,2011,3,90.9407,182.6842,36.9946,0.2097,0.3765,1.000966
HGB,SpatialBlock_buf,2011,4,37.359,54.5947,27.0287,0.1524,0.1507,1.002048
HGB,RandomKFold,456,0,41.719,76.1893,21.9577,0.8755,0.8493,1.004708
HGB,RandomKFold,456,1,40.3333,77.1301,20.1611,0.8782,0.8675,1.004964
HGB,RandomKFold,456,2,39.1827,84.5273,20.0721,0.8508,0.865,1.00512
HGB,RandomKFold,456,3,40.8454,85.3858,20.3704,0.8599,0.8633,1.00504
HGB,RandomKFold,456,4,40.1576,81.7096,18.2848,0.8808,0.888,1.005232
HGB,SpatialBlock,456,0,31.117,43.7458,26.871,0.4403,0.4498,1.005069
HGB,SpatialBlock,456,1,90.2569,166.649,29.3512,0.6881,0.8153,1.004844
HGB,SpatialBlock,456,2,98.4956,147.8794,46.8686,0.7342,0.6667,1.004734
HGB,SpatialBlock,456,3,68.5224,122.8541,30.6115,0.6426,0.5484,1.003438
HGB,SpatialBlock,456,4,33.3972,47.8734,26.9262,0.3482,0.4627,1.005136
HGB,SpatialBlock_buf,456,0,40.5055,53.1529,37.7423,0.1737,0.1331,1.003474
HGB,SpatialBlock_buf,456,1,134.2946,252.985,39.8147,0.2812,0.6385,1.003397
HGB,SpatialBlock_buf,456,2,147.8847,290.6792,50.364,-0.0269,0.3212,1.002322
HGB,SpatialBlock_buf,456,3,90.9407,182.6842,36.9946,0.2097,0.3765,1.000966
HGB,SpatialBlock_buf,456,4,37.359,54.5947,27.0287,0.1524,0.1507,1.002048
HGB,RandomKFold,777,0,41.719,76.1893,21.9577,0.8755,0.8493,1.004708
HGB,RandomKFold,777,1,40.3333,77.1301,20.1611,0.8782,0.8675,1.004964
HGB,RandomKFold,777,2,39.1827,84.5273,20.0721,0.8508,0.865,1.00512
HGB,RandomKFold,777,3,40.8454,85.3858,20.3704,0.8599,0.8633,1.00504
HGB,RandomKFold,777,4,40.1576,81.7096,18.2848,0.8808,0.888,1.005232
HGB,SpatialBlock,777,0,31.117,43.7458,26.871,0.4403,0.4498,1.005069
HGB,SpatialBlock,777,1,90.2569,166.649,29.3512,0.6881,0.8153,1.004844
HGB,SpatialBlock,777,2,98.4956,147.8794,46.8686,0.7342,0.6667,1.004734
HGB,SpatialBlock,777,3,68.5224,122.8541,30.6115,0.6426,0.5484,1.003438
HGB,SpatialBlock,777,4,33.3972,47.8734,26.9262,0.3482,0.4627,1.005136
HGB,SpatialBlock_buf,777,0,40.5055,53.1529,37.7423,0.1737,0.1331,1.003474
HGB,SpatialBlock_buf,777,1,134.2946,252.985,39.8147,0.2812,0.6385,1.003397
HGB,SpatialBlock_buf,777,2,147.8847,290.6792,50.364,-0.0269,0.3212,1.002322
HGB,SpatialBlock_buf,777,3,90.9407,182.6842,36.9946,0.2097,0.3765,1.000966
HGB,SpatialBlock_buf,777,4,37.359,54.5947,27.0287,0.1524,0.1507,1.002048
HGB,RandomKFold,2026,0,41.719,76.1893,21.9577,0.8755,0.8493,1.004708
HGB,RandomKFold,2026,1,40.3333,77.1301,20.1611,0.8782,0.8675,1.004964
HGB,RandomKFold,2026,2,39.1827,84.5273,20.0721,0.8508,0.865,1.00512
HGB,RandomKFold,2026,3,40.8454,85.3858,20.3704,0.8599,0.8633,1.00504
HGB,RandomKFold,2026,4,40.1576,81.7096,18.2848,0.8808,0.888,1.005232
HGB,SpatialBlock,2026,0,31.117,43.7458,26.871,0.4403,0.4498,1.005069
HGB,SpatialBlock,2026,1,90.2569,166.649,29.3512,0.6881,0.8153,1.004844
HGB,SpatialBlock,2026,2,98.4956,147.8794,46.8686,0.7342,0.6667,1.004734
